,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
346,77,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
347,1,6.3,6.05,-187.3,118.942,,,finHit
348,2,-6.3,6.05,-134.8,295.482,,,finHit
349,3,-6.3,6.05,-96.9,444.887,,,finHit
350,4,-18.9,6.05,-13.2,765.827,,,finHit
351,78,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
352,1,6.3,6.05,-187.3,11.443,,,finHit
353,2,-6.3,-6.05,-134.8,288.559,,,finHit
354,3,-6.3,-6.05,-96.9,419.208,,,finHit
355,4,6.3,-6.05,-13.2,753.729,,,finHit
356,79,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
357,1,6.3,6.05,-187.3,106.378,,,finHit
358,2,6.3,6.05,-134.8,30.875,,,finHit
359,3,6.3,6.05,-96.9,468.632,,,finHit
360,4,18.9,6.05,-13.2,821.228,,,finHit
361,80,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
362,1,6.3,6.05,-187.3,115.229,,,finHit
363,4,18.9,6.05,-13.2,782.574,,,finHit
364,81,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
365,1,6.3,6.05,-187.3,10.477,,,finHit
366,3,-6.3,-6.05,-96.9,42.059,,,finHit
367,4,-6.3,6.05,-13.2,705.701,,,finHit
368,82,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
369,1,6.3,6.05,-187.3,116.602,,,finHit
370,3,6.3,6.05,-96.9,454.483,,,finHit
371,83,100.0,1.0,1.0,-220.0,0.0,0.0,1.0
372,1,6.3,6.05,-187.3,121.253,,,finHit
373,84,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
374,1,6.3,6.05,-187.3,112.814,,,finHit
375,3,-6.3,6.05,-96.9,424.219,,,finHit
376,4,-6.3,6.05,-13.2,739.553,,,finHit
377,85,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
378,1,6.3,6.05,-187.3,106.898,,,finHit
379,2,-6.3,6.05,-134.8,299.089,,,finHit
380,3,-6.3,6.05,-96.9,442.921,,,finHit
381,4,-6.3,18.15,-13.2,784.511,,,finHit
382,86,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
383,1,6.3,6.05,-187.3,114.235,,,finHit
384,3,-44.1,-6.05,-96.9,696.093,,,finHit
