,Event_Number,Ini_E[MeV],Ini_X[cm],Ini_Y[cm],Ini_Z[cm],Ini_Theta,Ini_Phi,Number_of_hits
376,4,-6.3,6.05,-13.2,739.553,,,
377,85,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
378,1,6.3,6.05,-187.3,106.898,,,
379,2,-6.3,6.05,-134.8,299.089,,,
380,3,-6.3,6.05,-96.9,442.921,,,
381,4,-6.3,18.15,-13.2,784.511,,,
382,86,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
383,1,6.3,6.05,-187.3,114.235,,,
384,3,-44.1,-6.05,-96.9,696.093,,,
385,3,-6.3,6.05,-96.9,429.732,,,
386,4,-6.3,18.15,-13.2,8.033,,,
387,4,6.3,18.15,-13.2,786.553,,,
388,87,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
389,1,6.3,6.05,-187.3,108.189,,,
390,3,-6.3,6.05,-96.9,428.417,,,
391,4,-6.3,6.05,-13.2,750.205,,,
392,88,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
393,1,6.3,6.05,-187.3,115.734,,,
394,4,-6.3,-6.05,-13.2,697.041,,,
395,89,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
396,1,6.3,6.05,-187.3,117.521,,,
397,2,-6.3,6.05,-134.8,304.217,,,
398,3,-6.3,6.05,-96.9,444.667,,,
399,4,-6.3,6.05,-13.2,726.637,,,
400,90,100.0,1.0,1.0,-220.0,0.0,0.0,5.0
401,1,6.3,6.05,-187.3,116.117,,,
402,2,6.3,6.05,-134.8,313.179,,,
403,3,18.9,-6.05,-96.9,482.354,,,
404,4,31.5,-6.05,-13.2,877.916,,,
405,4,6.3,6.05,-13.2,756.809,,,
406,91,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
407,1,6.3,6.05,-187.3,111.913,,,
408,3,-6.3,-6.05,-96.9,41.996,,,
409,4,-6.3,-6.05,-13.2,751.798,,,
410,92,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
411,1,6.3,6.05,-187.3,112.355,,,
412,2,6.3,6.05,-134.8,296.715,,,
413,4,18.9,-6.05,-13.2,801.731,,,
414,4,18.9,6.05,-13.2,797.045,,,
415,93,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
416,1,6.3,6.05,-187.3,113.018,,,
417,2,6.3,-6.05,-134.8,302.569,,,
418,3,6.3,-6.05,-96.9,445.994,,,
419,4,6.3,-6.05,-13.2,732.635,,,
420,94,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
421,1,6.3,6.05,-187.3,113.771,,,
422,2,6.3,6.05,-134.8,289.216,,,
423,3,-6.3,6.05,-96.9,429.085,,,
424,4,-18.9,6.05,-13.2,761.104,,,
425,95,100.0,1.0,1.0,-220.0,0.0,0.0,2.0
426,1,6.3,6.05,-187.3,11.453,,,
427,3,-6.3,6.05,-96.9,44.691,,,
428,96,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
429,1,6.3,6.05,-187.3,105.386,,,
430,2,-6.3,-6.05,-134.8,292.137,,,
431,3,-6.3,-6.05,-96.9,446.256,,,
432,4,-18.9,-6.05,-13.2,759.391,,,
433,97,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
434,1,6.3,6.05,-187.3,121.929,,,
435,2,6.3,6.05,-134.8,285.243,,,
436,3,-6.3,6.05,-96.9,418.955,,,
437,4,6.3,6.05,-13.2,717.851,,,
438,98,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
439,1,6.3,6.05,-187.3,113.214,,,
440,2,6.3,6.05,-134.8,305.308,,,
441,3,6.3,6.05,-96.9,456.667,,,
442,4,6.3,18.15,-13.2,771.779,,,
443,99,100.0,1.0,1.0,-220.0,0.0,0.0,4.0
444,1,6.3,6.05,-187.3,112.957,,,
445,2,-6.3,-6.05,-134.8,292.118,,,
446,3,-6.3,-6.05,-96.9,417.832,,,
447,4,-6.3,-18.15,-13.2,783.458,,,
448,100,100.0,1.0,1.0,-220.0,0.0,0.0,3.0
449,1,6.3,6.05,-187.3,112.116,,,
450,2,6.3,-6.05,-134.8,296.371,,,
451,3,6.3,-6.05,-96.9,434.625,,,
452,1,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
453,1,6.3,6.05,-187.3,116.614,,,
454,2,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
455,1,6.3,6.05,-187.3,100.586,,,
456,3,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
457,1,6.3,6.05,-187.3,105.426,,,
458,4,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
459,1,6.3,6.05,-187.3,110.828,,,
460,5,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
461,1,6.3,6.05,-187.3,11.411,,,
462,6,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
463,1,6.3,6.05,-187.3,108.729,,,
464,7,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
465,1,6.3,6.05,-187.3,116.462,,,
466,8,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
467,1,6.3,6.05,-187.3,115.169,,,
468,9,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
469,1,6.3,6.05,-187.3,113.288,,,
470,10,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
471,1,6.3,6.05,-187.3,116.544,,,
472,11,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
473,1,6.3,6.05,-187.3,115.331,,,
474,12,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
475,1,6.3,6.05,-187.3,114.193,,,
476,13,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
477,1,6.3,6.05,-187.3,106.222,,,
478,14,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
479,1,6.3,6.05,-187.3,122.009,,,
480,15,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
481,1,6.3,6.05,-187.3,113.954,,,
482,16,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
483,1,6.3,6.05,-187.3,110.955,,,
484,17,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
485,1,6.3,6.05,-187.3,111.426,,,
486,18,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
487,1,6.3,6.05,-187.3,102.574,,,
488,19,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
489,1,6.3,6.05,-187.3,114.409,,,
490,20,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
491,1,6.3,6.05,-187.3,102.847,,,
492,21,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
493,1,6.3,6.05,-187.3,108.357,,,
494,22,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
495,1,6.3,6.05,-187.3,109.321,,,
496,23,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
497,1,6.3,6.05,-187.3,103.344,,,
498,24,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
499,1,6.3,6.05,-187.3,11.503,,,
500,25,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
501,1,6.3,6.05,-187.3,121.377,,,
502,26,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
503,1,6.3,6.05,-187.3,115.683,,,
504,27,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
505,1,6.3,6.05,-187.3,113.161,,,
506,28,10.0,1.0,1.0,-220.0,0.0,0.0,1.0
507,1,6.3,6.05,-187.3,114.373,,,
